customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,city,nps_score,segment,joining_date,account_type,kyc_status
15634602,619,India,Female,42,2,0,1,1,1,9555172.41,1,Delhi,0,Basic,19-12-2023,Savings,Verified
15647311,608,India,Female,41,1,7901405.04,1,0,1,10610514.44,0,Pune,5,Standard,16-03-2025,Salary,Verified
15619304,502,India,Female,42,8,15052820.22,3,1,0,10741468.42,1,Gurugram,5,Premium,26-03-2018,Savings,Pending
15701354,699,India,Female,39,1,0,2,0,0,8845974.68,0,Bengaluru,2,Basic,21-03-2025,Savings,Verified
15737888,850,India,Female,43,2,11833160.11,1,1,1,7456048.95,0,Bengaluru,9,Premium,24-04-2024,Current,Verified
15574012,645,India,Male,44,8,10724894.94,2,1,0,14119062.62,1,Hyderabad,4,Premium,15-05-2017,Salary,Verified
15592531,822,India,Male,50,7,0,2,1,1,948720.78,0,Delhi,7,Basic,12-07-2018,Savings,Verified
15656148,376,India,Female,29,4,10846606.65,4,1,0,11252023.85,1,Pune,5,Premium,16-02-2022,Savings,Verified
15792365,501,India,Male,44,4,13392574.88,2,0,1,7065390.34,0,Mumbai,6,Premium,18-02-2022,Current,Verified
15592389,684,India,Male,27,2,12690453.81,1,1,1,6762301.82,0,Delhi,10,Premium,16-03-2024,Salary,Verified
15767821,528,India,Male,31,6,9618136.36,2,0,0,7559475.99,0,Gurugram,3,Premium,14-11-2019,Savings,Verified
15737173,497,India,Male,24,3,0,2,1,0,7202050.14,0,Hyderabad,7,Basic,15-09-2022,Savings,Verified
15632264,476,India,Female,34,10,0,2,1,0,2475885.19,0,Pune,8,Basic,29-10-2015,Current,Verified
15691483,549,India,Female,25,5,0,2,0,0,17994072.44,0,Pune,4,Basic,21-06-2020,Savings,Verified
15600882,635,India,Female,35,7,0,2,1,1,6217921.56,0,Pune,8,Basic,18-07-2018,Savings,Verified
15643966,616,India,Male,45,3,13494240.77,2,0,1,6064774.07,0,Pune,4,Premium,04-06-2022,Savings,Verified
15737452,653,India,Male,58,1,12501799.53,1,1,0,480608.33,1,Gurugram,2,Premium,28-03-2025,Savings,Verified
15788218,549,India,Female,24,9,0,2,1,1,1358236.33,0,Delhi,8,Basic,27-10-2016,Savings,Pending
15661507,587,India,Male,45,6,0,1,0,0,14960803.89,0,Hyderabad,6,Basic,04-11-2019,Salary,Verified
15568982,726,India,Female,24,6,0,2,1,1,5159381.55,0,Bengaluru,8,Basic,31-05-2019,Current,Verified
15577657,732,India,Male,41,8,0,2,1,1,16111148.11,0,Gurugram,10,Basic,12-06-2017,Current,Verified
15597945,636,India,Female,32,8,0,2,1,0,13063008.77,0,Bengaluru,6,Basic,09-08-2017,Salary,Verified
15699309,510,India,Female,38,4,0,1,1,0,11211167.61,1,Mumbai,1,Basic,26-10-2021,Savings,Verified
15725737,669,India,Male,46,3,0,2,0,1,800225.07,0,Hyderabad,10,Basic,21-05-2022,Savings,Pending
15625047,846,India,Female,38,5,0,1,1,1,17688451.56,0,Pune,9,Basic,10-04-2021,Salary,Verified
15738191,577,India,Male,25,3,0,2,0,1,11738641.58,0,Gurugram,3,Basic,28-11-2022,Savings,Verified
15736816,756,India,Male,36,2,12898978.54,1,1,1,16031555.05,0,Bengaluru,5,Premium,22-07-2023,Current,Verified
15700772,571,India,Male,44,9,0,2,0,0,3623496.24,0,Pune,4,Basic,08-06-2016,Current,Verified
15728693,574,India,Female,43,3,13326424.26,1,1,1,9445670.9,0,Gurugram,9,Premium,13-06-2022,Savings,Verified
15656300,411,India,Male,29,0,5628249.19,2,1,1,5042397.04,0,Bengaluru,6,Standard,01-01-2026,Savings,Verified
15589475,591,India,Female,39,3,0,3,1,0,13243453.15,1,Bengaluru,3,Basic,13-07-2022,Savings,Verified
15706552,533,India,Male,36,7,8043187.08,1,0,1,14776684.47,0,Mumbai,7,Standard,05-11-2018,Savings,Verified
15750181,553,India,Male,41,9,10381410.27,2,0,0,7721419.81,0,Delhi,8,Premium,22-08-2016,Savings,Verified
15659428,520,India,Female,42,6,0,2,1,1,3244226.65,0,Gurugram,8,Basic,13-03-2020,Savings,Verified
15732963,722,India,Female,29,9,0,2,1,1,13390877.84,0,Hyderabad,7,Basic,26-05-2016,Current,Verified
15794171,475,India,Female,45,0,12658413.69,1,1,0,2623151.5,1,Delhi,0,Premium,24-10-2025,Salary,Verified
15788448,490,India,Male,31,3,13695134.48,1,0,1,10754215.08,0,Hyderabad,7,Premium,31-12-2022,Salary,Verified
15729599,804,India,Male,33,7,7217002.01,1,0,1,9282191.27,0,Pune,10,Premium,04-05-2019,Savings,Verified
15717426,850,India,Male,36,7,0,1,1,1,3847840.21,0,Mumbai,6,Basic,08-08-2018,Savings,Verified
15585768,582,India,Male,41,6,6632548.97,2,0,1,16788820.49,0,Gurugram,8,Standard,16-11-2019,Savings,Verified
15619360,472,India,Male,40,4,0,1,1,0,6614139.86,0,Delhi,5,Basic,18-09-2021,Savings,Verified
15738148,465,India,Female,51,8,11551404.33,1,0,0,17092742.44,1,Pune,4,Premium,26-12-2017,Salary,Verified
15687946,556,India,Female,61,2,11070296.32,1,1,1,8876823.09,0,Pune,8,Premium,22-08-2023,Savings,Verified
15755196,834,India,Female,49,2,12387879.12,1,0,0,18324803.85,1,Bengaluru,5,Premium,07-12-2023,Savings,Verified
15684171,660,India,Female,61,5,14701185.05,1,1,1,14928143.41,0,Delhi,9,Premium,27-01-2021,Salary,Verified
15754849,776,India,Female,32,4,10316224.14,2,1,1,11928066.13,0,Hyderabad,10,Premium,05-08-2021,Savings,Verified
15602280,829,India,Female,27,9,10563665.77,1,1,1,11286090.04,1,Bengaluru,6,Premium,09-05-2017,Savings,Pending
