transaction_id,customer_id,transaction_date,amount,category,payment_mode,merchant_name,status,is_anomaly
TXN100000,15779581,04-07-2024,84981.2,EMI,Debit Card,Axis EMI,Success,0
TXN100001,15741094,21-12-2024,92428.02,Utilities,Debit Card,Airtel,Success,0
TXN100002,15757916,14-04-2024,83399.46,Travel,Credit Card,IRCTC,Success,0
TXN100003,15684484,11-08-2024,139601.15,Shopping,Credit Card,Nykaa,Success,1
TXN100004,15737265,23-04-2024,58966.41,Utilities,Debit Card,TATA Power,Success,0
TXN100005,15633531,08-05-2024,140466.34,EMI,Debit Card,SBI EMI,Success,1
TXN100006,15694200,10-10-2024,6564.8,Entertainment,NetBanking,Hotstar,Success,0
TXN100007,15601688,14-09-2024,68111.77,Entertainment,Debit Card,Netflix,Success,0
TXN100008,15684181,08-06-2024,93722.19,EMI,UPI,Bajaj Finance,Success,0
TXN100009,15802486,07-08-2024,98525.01,Food,Credit Card,Haldirams,Success,0
TXN100010,15713144,11-03-2024,10810.62,EMI,NetBanking,ICICI EMI,Success,0
TXN100011,15782390,04-02-2024,17412.84,Food,Credit Card,Dominos,Success,0
TXN100012,15752816,04-08-2024,51811.77,EMI,UPI,Bajaj Finance,Success,0
TXN100013,15583595,19-12-2024,50110.08,Utilities,NetBanking,BSES,Success,0
TXN100014,15610594,08-09-2024,86113.54,Utilities,NetBanking,Airtel,Success,0
TXN100015,15801488,13-08-2024,42288.01,Food,Debit Card,Dominos,Failed,0
TXN100016,15755868,28-07-2024,107887.42,Travel,NetBanking,IRCTC,Success,0
TXN100017,15687959,08-10-2024,112984.68,Utilities,Debit Card,Airtel,Success,0
TXN100018,15747980,14-01-2024,73003.76,Food,Credit Card,Swiggy,Success,0
TXN100019,15587451,22-02-2024,117410.85,Travel,NetBanking,OYO,Success,0
TXN100020,15719377,15-09-2024,33106.66,Food,Credit Card,McDonald's,Success,0
TXN100021,15719348,08-04-2024,93673.35,Travel,Credit Card,Yatra,Success,0
TXN100022,15587535,03-04-2024,59860.55,EMI,Debit Card,ICICI EMI,Success,0
TXN100023,15667651,03-04-2024,81935.24,Utilities,Debit Card,TATA Power,Success,0
TXN100024,15637876,29-12-2024,128151.72,Entertainment,Debit Card,BookMyShow,Success,1
TXN100025,15615029,20-07-2024,60040.41,EMI,NetBanking,ICICI EMI,Success,0
TXN100026,15733974,04-11-2024,21428.72,Entertainment,UPI,Netflix,Success,0
TXN100027,15803365,17-06-2024,40821.52,Healthcare,Credit Card,Max Healthcare,Success,0
TXN100028,15574331,06-04-2024,137008.07,Travel,Debit Card,Uber,Success,1
TXN100029,15594862,01-11-2024,68244.8,Utilities,Credit Card,TATA Power,Success,0
TXN100030,15655007,23-12-2024,25328.33,Food,Debit Card,Swiggy,Success,0
TXN100031,15734634,07-07-2024,57087.95,Shopping,Debit Card,Flipkart,Success,0
TXN100032,15594898,03-12-2024,86107.68,EMI,Debit Card,Bajaj Finance,Success,0
TXN100033,15574324,17-05-2024,46165.45,Utilities,NetBanking,Jio,Success,0
TXN100034,15760861,02-04-2024,13212.59,Entertainment,UPI,Netflix,Success,0
TXN100035,15702430,12-04-2024,74844.54,Food,Debit Card,Dominos,Success,0
TXN100036,15616330,07-10-2024,39142.38,Healthcare,UPI,Apollo Pharmacy,Success,0
TXN100037,15689612,12-02-2024,117178.56,Food,Credit Card,Haldirams,Reversed,0
TXN100038,15586970,13-04-2024,149953.25,Shopping,NetBanking,Flipkart,Success,1
TXN100039,15707567,27-07-2024,38714.98,EMI,NetBanking,ICICI EMI,Success,0
TXN100040,15629338,12-06-2024,89221.4,EMI,UPI,Axis EMI,Success,0
TXN100041,15607713,13-10-2024,79289.19,Utilities,Debit Card,BSES,Success,0
TXN100042,15753370,26-04-2024,84288.91,Food,NetBanking,Dominos,Reversed,0
TXN100043,15710743,07-02-2024,3636.12,Entertainment,Debit Card,PVR,Success,0
TXN100044,15729970,07-03-2024,136187.06,Shopping,UPI,Flipkart,Success,1
TXN100045,15709994,27-10-2024,122716.35,Food,Debit Card,Dominos,Success,1
TXN100046,15657812,18-11-2024,64108.99,Entertainment,NetBanking,Netflix,Success,0
TXN100047,15710424,13-11-2024,125170.74,Shopping,Credit Card,Nykaa,Success,1
TXN100048,15776233,20-11-2024,143774.65,EMI,UPI,Axis EMI,Success,1
TXN100049,15765322,29-03-2024,9038.22,Food,UPI,Haldirams,Success,0
TXN100050,15592765,17-05-2024,100655.27,Healthcare,NetBanking,Practo,Success,0
TXN100051,15610426,03-04-2024,148948.54,Utilities,UPI,Airtel,Success,1
TXN100052,15762277,22-11-2024,77464.25,EMI,NetBanking,ICICI EMI,Failed,0
TXN100053,15650034,27-06-2024,121524.76,Healthcare,Debit Card,Fortis,Success,1
TXN100054,15766896,01-01-2024,108918.22,Shopping,NetBanking,Nykaa,Success,0
TXN100055,15641675,11-12-2024,85145.29,Travel,UPI,OYO,Success,0
TXN100056,15766686,09-10-2024,142842,Travel,Credit Card,Yatra,Success,1
TXN100057,15673619,13-09-2024,64167.38,Healthcare,UPI,Practo,Success,0
TXN100058,15801466,03-03-2024,127793.54,Entertainment,Debit Card,Netflix,Success,1
TXN100059,15662291,07-05-2024,48771.1,Entertainment,NetBanking,Hotstar,Success,0
TXN100060,15676895,17-04-2024,118740.02,Healthcare,NetBanking,1mg,Success,0
TXN100061,15804771,06-08-2024,119008.72,Entertainment,NetBanking,Hotstar,Success,0
TXN100062,15791991,02-11-2024,36859.86,Food,Debit Card,Swiggy,Success,0
TXN100063,15628145,10-07-2024,54779.66,Food,UPI,Haldirams,Success,0
TXN100064,15697000,03-10-2024,126742.96,Healthcare,NetBanking,1mg,Success,1
TXN100065,15585865,28-08-2024,51571.22,Travel,NetBanking,Yatra,Success,0
TXN100066,15774738,24-09-2024,123413.82,EMI,UPI,SBI EMI,Success,1
TXN100067,15672692,02-07-2024,85498.43,Travel,Credit Card,MakeMyTrip,Success,0
TXN100068,15731507,23-10-2024,50988.84,Entertainment,Credit Card,Hotstar,Success,0
TXN100069,15743067,26-02-2024,108182.52,Utilities,Credit Card,BSES,Success,0
TXN100070,15615991,05-08-2024,39270.73,EMI,UPI,ICICI EMI,Success,0
TXN100071,15808621,18-03-2024,7997.37,Utilities,UPI,Mahanagar Gas,Success,0
TXN100072,15691111,30-05-2024,36321.55,Travel,NetBanking,MakeMyTrip,Success,0
TXN100073,15780746,13-05-2024,85999.56,EMI,UPI,Bajaj Finance,Success,0
TXN100074,15795519,21-02-2024,32732.55,EMI,Debit Card,ICICI EMI,Success,0
TXN100075,15670619,04-07-2024,97759.36,Travel,NetBanking,OYO,Reversed,0
TXN100076,15624388,04-08-2024,144953.4,EMI,Debit Card,SBI EMI,Success,1
TXN100077,15716155,31-01-2024,15472.97,Shopping,Debit Card,Myntra,Success,0
